編號,提出單位,提出建議,題庫方向,中文問題,中文答案,English Question,English Answer,問題說明
50,推廣組,STT語音辨識「領角鴞」為「菱角鴞」,動物資訊,領角鴞的視力如何?,領角鴞視力敏銳，配合可旋轉約270度的頭部，能在昏暗環境精準鎖定獵物；夜間狩獵主要仰賴這種優異視覺與聽覺協同作用。（以上資料來自：POI數據）,How good is the vision of the Collared Scops Owl?,"Excellent. Collared Scops Owls have sharp vision that, together with their wide head rotation, helps them accurately locate prey in low light. (Source: Taipei Zoo official animal guide)",
51,,,動物資訊,歐亞水獺都吃什麼?,"歐亞水獺屬肉食性，主要吃：

水中無脊椎動物、甲殼類
魚類、兩生類與爬行類
水域附近的水禽、齧齒類 （以上資料來自：官網動物圖鑑）",What does the Eurasian Otter eat?,"Eurasian Otters are carnivores. They eat:
- Aquatic invertebrates and crustaceans
- Fish
- Amphibians and reptiles
- Waterfowl and small rodents near waterways",
52,,,動物資訊,臺灣水鹿為何叫四目鹿,因為臺灣水鹿的眼腺很發達，遠看像有四隻眼睛，因此被稱為「四目鹿」。（以上資料來自：官網動物圖鑑）,Why is the Formosan Sambar called the “Four-eyed Deer”?,"Because the Formosan Sambar has very prominent pre-orbital (eye) glands. From a distance, these glands look like an extra pair of eyes, earning it the nickname “Four-eyed Deer.” ",
53,,,動物資訊,臺灣梅花鹿有什麼特徵,"臺灣梅花鹿的主要特徵：

毛色褐至紅棕，背側有7–8排白色斑點，中央一條黑帶；腹面與尾下白色，臀部有大白斑
雄鹿有2–5叉實心角，每年春天無痛脫落再長；雌鹿無角
夏毛淡栗色短毛，秋季換成較長、斑紋不明顯的茶褐色 （以上資料來自：官網動物圖鑑）",What are the main characteristics of the Formosan Sika?,"Key characteristics of the Formosan Sika:
- Coat: Brown to reddish-brown with 7–8 rows of white spots; a dark stripe along the back.
- Seasonal change: Summer—bright chestnut short coat; Autumn/Winter—longer, duller brown coat with less distinct spots.
- Markings: White belly, inner legs, and under-tail; a prominent white rump patch.
- Antlers: Only males grow solid antlers; shed annually. Mature bucks have 2–5 tines, increasing with age.

(Source: Official zoo animal guide)",
54,,,動物資訊,臺灣梅花鹿的角怎麼區分？,"分辨臺灣梅花鹿的角，可看「分叉數與季節變化」：

年齡與分叉：雄鹿第2年不分叉；第3年一叉；第4年兩叉；第5年達三叉為主（少數可到四叉）。雌鹿不長角。
季節變化：每年春天實心角會無痛脫落再長；5–7月為包皮有血管的「鹿茸」期，之後血供中止、角鈣化並磨去茸毛。 （以上資料來自：官網動物圖鑑）",How can the antlers of the Formosan Sika be distinguished?,"To identify the antlers of Formosan Sika, observe the “number of tines and seasonal changes”:

Age and Tines: Male deer do not develop antlers in their second year; they grow one tine in the third year, two tines in the fourth year, and typically reach three tines in the fifth year (with a few growing four tines). Female deer do not grow antlers.
Seasonal Changes: Each spring, the solid antlers shed painlessly and regrow. From May to July, the antlers enter the “velvet” stage, covered in vascularized skin. Subsequently, blood supply ceases, the antlers calcify, and the velvet is shed. (Source: Official Website Animal Guide)""",
55,,,動物資訊,臺灣梅花鹿的毛色會變嗎？,會變。臺灣梅花鹿夏季為鮮豔淡栗色短毛，秋季換成斑紋較不明顯的茶褐色長毛；背部與體側全年有7–8排白色斑點，冬季斑點會顯得較淡。（以上資料來自：官網動物圖鑑）,Does the Formosan Sika's coat color change with the seasons?,"Yes. The Formosan Sika’s coat changes seasonally:
- Summer: Bright chestnut, short hair with distinct white spots.
- Autumn/Winter: Longer, duller brown coat; spots become less distinct.

(Source: Official zoo animal guide)",
56,,,動物資訊,藍腹鷴怎麼求偶,雄鳥會先不停點頭，接著側身展示背上亮麗羽毛，然後繞著雌鳥一圈圈跳起求偶舞；藍腹鷴為一夫多妻，由雌鳥負責孵蛋。（以上資料來自：官網動物圖鑑／POI數據）,How does the Swinhoe’s Pheasant perform courtship?,"The male performs a distinctive display:
- Repeated head‑nodding
- Sideways posture to show off his brilliant back and tail feathers
- Circling the female while “dancing” around her
These behaviors are part of his courtship ritual. (Source: POI data)",
57,,,動物資訊,臺灣野山羊怎麼能走在山坡上？,"因為牠有「適合攀坡的腳」與超佳平衡感：

特殊構造的蹄：又圓又粗、抓地力好，能卡住岩縫與不平表面
身體協調與平衡佳：在裸露岩石、崩塌地與陡坡也能穩定前進 所以能在山坡與峭壁間靈活行走。 （以上資料來自：官網站內解說與實體展板）",How can the Formosan Serow walk on steep mountain slopes?,"Thanks to two key adaptations:
- Special hooves: Round, coarse, and specially structured for grip, letting them stand and step securely on bare rock and landslides.
- Excellent balance: Exceptional equilibrium helps them move nimbly across steep, rugged cliffs.

(Source: Official zoo animal guide / exhibit panels)",
58,推廣組,STT語音辨識「領角鴞」為「菱角鴞」,動物資訊,領角鴞和藍腹鷴牠們都是卵生動物嗎?,是的，領角鴞和藍腹鷴都是卵生動物。牠們會產卵並孵化幼鳥。如果您有其他問題，請隨時詢問！,Are the Collared Scops Owl and the Swinhoe’s Pheasant both oviparous animals?,"Yes. Both Collared Scops Owl and Swinhoe’s Pheasant are birds, and birds are oviparous—they lay eggs. For example, Swinhoe’s Pheasant nests on the ground and lays 3–8 eggs per clutch, incubated by the female. (Source: Taipei Zoo official animal guide)",
59,,,動物資訊,臺灣野山羊生長在什麼環境,"臺灣野山羊多棲息在中、高海拔的原始林，常出沒於裸露岩石崩塌處與險峻陡峭的山區；海拔約200–3,000公尺，最高可見至3,500公尺。（以上資料來自：官網動物圖鑑）",What kind of environment does the Formosan Serow live in?,"Habitat of the Formosan Serow:
- Taiwan’s mountains from roughly 200–3,000 m (seen up to 3,500 m).
- Prefers mid‑ to high‑elevation primeval forests.
- Often found on bare rocky avalanche slopes and steep, rugged cliffs.

(Source: Official zoo animal guide / exhibit panels)",
60,,,動物資訊,歐亞水獺都住在什麼環境？,歐亞水獺多半棲息河川與濕地環境，會在水邊的土堤、岩縫或樹根下築巢；洞口常一個在水面下、另一個在高水位以上作為透氣用。（以上資料來自：實體展板／官網動物圖鑑）,Where do Eurasian Otters live?,"Eurasian Otters live mainly in freshwater habitats—rivers, streams, lakes, and wetlands—but they can also use estuaries and coastal marine areas.",
61,,,動物資訊,歐亞水獺會游泳嗎?,會。歐亞水獺是半水棲高手，前後腳有蹼、身體流線且毛密防水；游泳時前腳貼腹、後腳配合尾巴擺動控制方向與速度，尾巴還像舵一樣幫助前進。（以上資料來自：實體展板／官網動物圖鑑）,Can the Eurasian Otter swim?,"Yes. Eurasian Otters are excellent swimmers and divers. They have streamlined bodies, dense waterproof fur, webbed feet, and a powerful tail that acts like a rudder or paddle.",
62,,,動物資訊,歐亞水獺、小爪水獺、海獺、河狸的差異是?,"以下是四者的重點差異（精簡版）：

歐亞水獺：食肉目鼬科；半水棲，河川、湖泊與河口；全蹼、尾較長、毛密，多獨居。（以上資料來自：實體展板／官網動物圖鑑）
小爪水獺：食肉目鼬科；體型較小、半蹼、群居、擅長用前爪翻找獵物。（以上資料來自：實體展板／官網動物圖鑑）
海獺：食肉目鼬科；生活在海洋，並非河川；海上覓食與活動。（以上資料來自：實體展板）
河狸：囓齒目河狸科；啃咬樹木築壩居住，棲息於溪河、池塘與淡水湖，非鼬科。（以上資料來自：實體展板）","What are the differences between the Eurasian Otter, Asian Small-clawed Otter, Sea Otter and Beaver?","Here’s a concise comparison:

- Eurasian Otter: Carnivora (Mustelidae); semi-aquatic in rivers/lakes/estuaries; larger, fully webbed feet, longer tail with dense fur; mostly solitary. 👉 Behaviors include agile swimming and rolling; dens often have an underwater entrance. (Source: Exhibit panels / Official Animal Profile / POI data)

- Asian Small-clawed Otter: Carnivora (Mustelidae); smaller body, semi-webbed feet; highly social; skilled with forepaws to feel and flip stones for prey. (Source: Official Animal Profile)

- Sea Otter: Carnivora (Mustelidae); lives in the sea (marine), not rivers; forages and lives in coastal waters. (Source: Exhibit panels)

- Beaver: Rodentia; not a mustelid; gnaws trees with ever-growing incisors to build dams and lodges; inhabits rivers, ponds, freshwater lakes. (Source: Exhibit panels)",
63,,,動物資訊,臺灣還有純種的臺灣野豬嗎？,根據館內資料，野外的純種臺灣野豬正面臨消失危機：放養家豬與野豬雜交普遍，導致純種個體愈來愈少、已不易見。動物園正與國立臺灣大學合作「臺灣野豬保種計畫」，以基因序列比對確認純種並進行繁殖。（以上資料來自：實體展板／官網動物圖鑑）,Are there still purebred Formosan Wild Boars in Taiwan?,"According to our verified sources, purebred Formosan Wild Boars in the wild are now very rare due to widespread crossbreeding with free-ranging domestic pigs and habitat pressures. Taipei Zoo and National Taiwan University run a conservation/breeding program using genetic sequencing to identify and breed purebred individuals. (Source: exhibit panels/official animal guide)",
64,動物組,臺灣梅花鹿為家畜,動物資訊,臺灣梅花鹿目前是保育類動物嗎?,"依我掌握的資料，臺灣梅花鹿為家畜未列為臺灣法定保育類（無等級標示）；IUCN 全球評估為無危（LC）。若需最新法規身分，建議以林業及自然保育主管機關公告為準。（以上資料來自：官網動物圖鑑）


臺灣梅花鹿為家畜",Is the Formosan Sika currently a protected species?,"Current protection status of the Formosan Sika:
- IUCN Red List: Least Concern (LC).
- Taiwan wildlife law: Not listed as a protected category.

(Source: Official zoo animal guide)",
65,,,動物資訊,園方如何保持臺灣野豬的天性？,"園方用「行為豐富化」讓野豬動腦又動身：

改裝餵食桶，必須搖晃翻轉才能取食，模擬野外覓食
保姆每日藏食物，利用牠們靈敏嗅覺尋找，激發天性
提供可打滾的泥地與可磨蹭樹幹，維持清潔與自然行為 （以上資料來自：實體展板）",How does the zoo help Formosan Wild Boars maintain their natural instincts?,"The zoo uses enrichment and caregiver practices to mimic the wild:
- Foraging challenge: Modified “feeding barrels” that boars must shake and flip to get food, increasing exercise and problem‑solving.
- Scent/hidden food: Keepers hide food in soil to engage their keen sense of smell and stimulate natural digging behavior.
- Hygiene behaviors: Providing mud and rough surfaces so boars can wallow and rub to remove parasites.

(Source: exhibit panels)",
66,,,動物資訊,臺灣獼猴身體特徵,"臺灣獼猴的身體特徵重點：

頭圓臉平，具頰囊、耳朵小；臀部有紅色肉墊。
背部冬灰褐、夏橄欖綠；四肢與尾色較深，腹面灰白。
尾巴粗且長。 （以上資料來自：官網動物圖鑑）",What are the physical characteristics of the Formosan Rock Macaque?,"Key physical traits of the Formosan Rock Macaque:
- Rounded head, flat face, small ears; cheek pouches for storing food.
- Back fur: gray‑brown in winter, olive‑green in summer.
- Darker limbs and tail; underside gray‑white.
- Red ischial callosities (“seat pads”); tail thick and long.

(Source: Taipei Zoo official animal guide)",
67,,,動物資訊,臺灣野豬的獠牙有什麼功能?,"臺灣野豬的獠牙（上下犬齒）功能：

覓食工具：翻動石塊、掘土找食物
防禦與打鬥：公豬彼此爭鬥、抵禦掠食者的重要武器
性別差異：公豬獠牙又長又彎；母豬較短、不易看見 （以上資料來自：官網動物圖鑑／POI數據）",What are the functions of the tusks of the Formosan Wild Boar?,"Functions of Formosan Wild Boar tusks:
- Foraging tool: The long, curved canines help pry and flip stones and soil while searching for food.
- Defense and combat: Key weapons for males in fights and for deterring predators. Females have shorter, less visible tusks.

(Source: official zoo animal guide / exhibit panels)",
68,,,動物資訊,臺灣野豬的母豬也會有獠牙嗎?,會有，但較短、不明顯。母豬的上下犬齒也形成獠牙，但長度短、外觀不易看到；公豬則又長又彎，並用於打鬥與防禦。（以上資料來自：官網動物圖鑑）,Do female Formosan Wild Boars also have tusks?,"Yes. Both sexes have canine “tusks,” but:
- Males: Long, curved upper and lower canines (“tusks”) that are prominent and used for fighting and foraging.
- Females: Tusks are shorter and not as visible.

(Source: official zoo animal guide / exhibit panels)",
69,,,動物資訊,為何藍腹鷴一個欄舍只有一隻雄鳥,因雄鳥領域性很強，見到其他雄鳥會激烈爭鬥，可能搏命相鬥；為避免受傷，園方同欄只飼養一隻雄鳥。（以上資料來自：官網動物圖鑑／POI數據）,Why is there only one male Swinhoe’s Pheasant in each enclosure?,"Because male Swinhoe’s Pheasants are highly territorial. If more than one male is kept in the same enclosure, they will fight aggressively, risking serious injury. To protect the birds, zoos house only one male per enclosure.",
70,,,動物資訊,那臺灣獼猴是母系還是父系社會?,臺灣獼猴是母系社會。群體以雌猴為核心並主導行動與覓食；雄猴成年後多離開出生群，再尋機加入新群體。 （以上資料來自：官網動物圖鑑）,Is the Formosan Rock Macaque a matriarchal or patriarchal species?,"Matriarchal. Formosan Rock Macaque troops are centered around females, who lead group movement and foraging. Males leave their natal troop at maturity and later try to join new groups. (Source: Official zoo animal guide)",
71,,,園區資訊,動物園有麥當勞嗎?,有喔！園區「大門廣場」有麥當勞（臺灣黑熊店）。 👉 點我導航,Is there a McDonald's in the zoo?,"There is McDonald’s here, located at Zoo Store area (Main Entrance).
👉 Navigate here",
72,動物組,,園區資訊,請問臺灣動物區廁所在哪裡?,這裡有洗手間，位置：臺灣動物區。 👉 點我導航,Where is the toilet in Taiwan Animals Area?,"There is a restroom here, located at Taiwan Animal Area.
👉 Navigate here",
73,,,園區資訊,請問票價,"動物園門票如下：
- 普通票 100元
- 臺北市民 60元
- 優待票 50元（學生、6–11歲等符合資格）
- 團體票 70元（30人以上）

如需免票與優待資格細節，我可以再補充說明。",What is the ticket price?,"Admission ticket prices:

Regular: NT$100
Taipei citizens: NT$60
Concession: NT$50
Group (30+ people): NT$70
For eligibility details (free/concession/group), let me know.",
74,育樂組,簡體字,園區資訊,請問推薦路線,"如果您計劃停留3到4小時，建議的路線是：先參觀臺灣動物區，然後搭乘列車到鳥園車站，接著參觀兩棲爬蟲動物館、溫帶動物區和企鵝館。最後，您可以探索非洲動物區、熱帶雨林區、穿山甲館、大貓熊館和無尾熊館。

如果時間較短，1到2小時，建議參觀臺灣動物區、無尾熊館、大貓熊館和穿山甲館。希望您有個愉快的參觀！",Please recommend the route,"Here’s a suggested route for 3–4 hours:

Taiwan Animal Area → Train to Bird World Station → Amphibian & Reptile House → Temperate Zone → Penguin House → African Animal Area → Tropical Rainforest → Pangolin Dome → Giant Panda House → Koala House
If you only have 1–2 hours:

Taiwan Animal Area → Koala House → Giant Panda House → Pangolin Dome
Have a great visit! ",
75,,,園區資訊,臺灣動物區怎麼走,"
想前往「臺灣動物區」，請跟著園內指標往上園區方向走，入口處有大型木作門牌與鹿、黑熊等意象。
👉 點我導航",How to get to Taiwan Animal Area,"To reach the Taiwan Animal Area, follow park signs toward the upper zone. Look for a large wooden gate with deer and black bear motifs at the entrance.
👉 Navigate here",
76,,,園區資訊,我可以帶寵物去動物園嗎?,抱歉，園區不開放攜帶寵物入園（導盲犬等合格動物輔助犬除外）。若需寄放，請自行安排友人照看或臨時托運服務。若有其他需求，我可以再幫你查園內設施資訊。,Can I bring my pet to the zoo?,"Sorry, pets are not allowed in the zoo (except qualified assistance dogs such as guide dogs). If needed, please arrange care with a friend or a temporary boarding service. (Source: Taipei Zoo website)",
77,,,園區資訊,推娃娃車搭乘遊客列車是否可使用車尾無障礙設施？,本園一般列車車廂可容納娃娃車尺寸限制為「長170cmx寬60cm」，如逾尺寸限制，或另有特殊需求時，可洽現場工作人員協助使用車尾無障礙設施。,Can baby strollers use the accessible boarding facility at the rear of the tourist train?,"The regular train cars can accommodate strollers up to 170 cm (L) × 60 cm (W). If your stroller exceeds this size or you have special needs, please ask on-site staff for assistance to use the accessible boarding facility at the rear of the train.",
78,育樂組,行李寄放回答，除提供計時計費資訊，建議增加尺寸資訊。,園區資訊,請問有提供行李寄放嗎?,是的，我們提供行李寄存服務。遊客服務中心與大門廣場出口側有寄物櫃，小型尺寸每3小時40元（高42cm*寬40cm*深58cm），大型尺寸每3小時60元（高84cm*寬40cm*深58cm）。希望這能幫到您！,Is there any luggage storage available?,"Yes. Coin lockers are available at:

Visitor Service Center 👉 Navigate here
Main Plaza (by the exit) 👉 Navigate here
Zoo Store (beside the souvenir section) 👉 Navigate here
Small lockers: 40 TWD per 3 hours (H42×W40×D58 cm); Large lockers: 60 TWD per 3 hours (H84×W40×D58 cm).",
79,,,園區資訊,請問有吸菸區嗎?,本園為環境教育場域，並於民國105年5月公告為無菸公園示範區，故全園全面禁菸，請勿在園區包括工作車道、販賣站後方或廁所內吸菸，謝謝您的配合。,Is there a smoking area?,"No. The entire zoo is smoke-free, with no designated smoking areas. Violations may be fined up to NT$10,000.",
80,,,園區資訊,你們提供嬰兒車租借服務嗎？,"有的！提供嬰兒車租借服務：

租借地點：遊客服務中心旁、鳥園車站
費用：輕巧款50元（15KG以下）、旗艦款100元（22KG以下）
時間：09:00 - 16:00；請於當日17:00前歸還
押金：1,000元（歸還時退還）
限園內使用
想前往租借點：

遊客服務中心 👉 點我導航
鳥園車站 👉 點我導航 （以上資料來自：動物園官網）",Do you offer stroller rentals?,"Yes! Stroller rentals are available:

Locations: Near the Visitor Service Center, Bird World Station
Fees: NT$50 (Light, under 15 kg); NT$100 (Premium, under 22 kg)
Hours: 09:00–16:00; please return by 17:00 same day
Deposit: NT$1,000 (refunded upon return)
In-park use only
Navigate:

Visitor Service Center 👉 Navigate here
Bird World Station 👉 Navigate here",
81,,,園區資訊,請問遊客中心在哪?,"遊客服務中心在動物園大門入口附近的廣場區域，辦理諮詢、失物、租借等服務。
👉 點我導航",Where is the visitor center?,"The Visitor Center is near the Main Entrance Plaza. It provides information, announcements, nursing services, breastfeeding rooms, stroller rentals, and wheelchair loans.
👉 Navigate here(https://zooguide.gov.taipei/home/map?poi_id=23&lang=en)",
82,,,園區資訊,動物園開放時間是?,"動物園每日開放時間：09:00–17:00（16:00停止入園）。
動物展示時間：09:00–16:30。",What are the zoo's opening hours?,The zoo is open 09:00–17:00 (last entry at 16:00). Animal exhibits are open 09:00–16:30. (Source: Taipei Zoo Official Website),
83,,,園區資訊,臺灣動物區有販賣食物嗎?,"這裡沒有餐飲店（餐廳/小吃）標示為「臺灣動物區」。以下地點有提供餐飲：
- 新光特展館(大貓熊館)：貓熊餐廳 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=273&lang=zh)
- 兩棲爬蟲動物館：青蛙廚房 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=280&lang=zh)
- 非洲動物區：小木屋鬆餅 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=268&lang=zh)
- 非洲動物區：瓦非棧 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=269&lang=zh)
- 非洲動物區：味百選 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=270&lang=zh)
- 非洲動物區：idoo土耳其 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=271&lang=zh)
- 非洲動物區：百味屋 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=328&lang=zh)
- 非洲動物區：TIAN-MEE 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=329&lang=zh)
- 非洲動物區：愛爾蘭瘋薯 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=330&lang=zh)
- 熱帶雨林室內館(穿山甲館)：怡客咖啡 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=283&lang=zh)
- 動物園店：麥當勞 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=275&lang=zh)
- 動物園店：小飯桌 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=276&lang=zh)
- 兩棲爬蟲動物館：瓦非屋 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=466&lang=zh)",Is food sold in the Taiwan Animal Zone?,"There are no restaurants/food stalls listed within the Taiwan Animal Area. The following locations in the zoo offer food:
- Panda House: Panda Restaurant 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=273&lang=en)
- Amphibian and Reptile House: Frog Kitchen 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=280&lang=en)
- African Animal Area: Waffle Cabin 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=268&lang=en)
- African Animal Area: Wa-Fei Zhan 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=269&lang=en)
- African Animal Area: Wei Bai Xuan 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=270&lang=en)
- African Animal Area: idoo Turkish Ice Cream 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=271&lang=en)
- African Animal Area: Bai Wei Wu 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=328&lang=en)
- African Animal Area: TIAN-MEE 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=329&lang=en)
- African Animal Area: Irish Potatoes 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=330&lang=en)
- Tropical Rainforest Indoor House (Pangolin House): Ikari Coffee 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=283&lang=en)
- Zoo Store Area: McDonald’s 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=275&lang=en)
- Zoo Store Area: Little Lunch Table 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=276&lang=en)
- Amphibian and Reptile House: Wa-Fei House 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=466&lang=en)",
84,,,園區資訊,動物園週一休息嗎?,"動物園本園區週一照常開放；但部分館舍逢週一休館：

新光特展館（大貓熊館）：每月第1個週一
熱帶雨林室內館（穿山甲館）、企鵝館：每月第2個週一
兩棲爬蟲動物館：每月第3個週一
昆蟲館：每月第4個週一
教育中心、酷cool節能屋：每週一 （以上資料來自：動物園官網）",Is the zoo closed on Mondays?,"The main zoo is open on Mondays. However, some houses are closed on certain Mondays:

Giant Panda House: 1st Monday of each month
Pangolin Dome and Penguin House: 2nd Monday
Amphibian & Reptile House: 3rd Monday
Insectarium: 4th Monday
Education Center and Eco House: every Monday (Source: Taipei Zoo Official Website)",
85,,,園區資訊,請問東西不見怎麼辦?,您可先回到遺失物動線附近尋找，或就近請工作人員協助。也建議前往大門口的遊客服務中心登記遺失物，服務人員會協助查詢與聯絡。若需電話協助可撥打(02)2938-2300 分機613（護理站/服務中心）。希望能幫到您！,What should I do if I lose something?,"Please go to the Visitor Service Center to report your lost item. Staff can assist with lost-and-found inquiries and handling. If you need phone help, call +886-2-2938-2300 (ext. 613) to reach the nursing/service staff.",
86,,,園區資訊,請問哪裡有飲水機?,"以下地點有飲水機（多數提供冷/溫/熱水）：

遊客服務中心 👉 點我導航
大貓熊館 👉 點我導航
穿山甲館 👉 點我導航
兩棲爬蟲動物館出口哺乳室 👉 點我導航
熱帶雨林區（老虎賣店旁） 👉 點我導航
非洲動物區（河馬賣店旁） 👉 點我導航
沙漠動物區（駱駝賣店旁） 👉 點我導航
兒童動物區（廁所旁，無熱水） 👉 點我導航
小貓熊賣店旁 👉 點我導航
園內三處車站：列車總站、鳥園車站、動物園南站 👉 點我導航",Where is the water fountain?,"The following locations provide water fountains:
- Visitor Service Center 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=216&lang=en)
- Zoo Shop (Souvenir Center rest area) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=217&lang=en)
- Education Center 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=218&lang=en)
- Giant Panda House 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=219&lang=en)
- Indoor Tropical Rainforest (Pangolin Dome) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=220&lang=en)
- Tropical Rainforest Area (beside Tiger shop) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=221&lang=en)
- Desert Animal Area (outside restroom by Camel shop) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=222&lang=en)
- African Animal Area (outside restroom by Hippo shop) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=223&lang=en)
- Amphibian and Reptile House (nursing room at exit) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=224&lang=en)
- Temperate Zone (beside Red Panda shop) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=225&lang=en)
- Zoo Train Main Station 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=226&lang=en)
- Bird World Station 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=227&lang=en)
- Zoo South Station 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=228&lang=en)
- Children’s Zoo (by restroom; no hot water) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=229&lang=en)",
87,,,園區資訊,哪裡有廁所?,"以下地點有提供 廁所：
- 動物園店（大門廣場） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=195&lang=zh)
- 遊客服務中心 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=196&lang=zh)
- 無尾熊館旁 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=197&lang=zh)
- 臺灣動物區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=198&lang=zh)
- 昆蟲館 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=199&lang=zh)
- 蟲蟲探索谷 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=200&lang=zh)
- 教育中心 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=201&lang=zh)
- 新光特展館(大貓熊館) 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=202&lang=zh)
- 熱帶雨林區（水生植物園） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=203&lang=zh)
- 熱帶雨林區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=204&lang=zh)
- 沙漠動物區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=205&lang=zh)
- 澳洲動物區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=206&lang=zh)
- 非洲動物區（河馬廣場） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=207&lang=zh)
- 非洲動物區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=208&lang=zh)
- 溫帶動物區 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=209&lang=zh)
- 溫帶動物區（小貓熊店旁） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=210&lang=zh)
- 兩棲爬蟲動物館（出口） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=211&lang=zh)
- 兩棲爬蟲動物館（入口） 👉 [點我導航](https://zooguide.gov.taipei/home/map?poi_id=212&lang=zh)",Where is the toilet?,"The following locations provide restrooms:

Zoo Shop (Main Plaza) 👉 Navigate here
Visitor Service Center 👉 Navigate here
Beside Koala House 👉 Navigate here
Taiwan Animal Area 👉 Navigate here
Insectarium 👉 Navigate here
Bug Exploration Valley 👉 Navigate here
Education Center 👉 Navigate here
Giant Panda House 👉 Navigate here
Tropical Rainforest Area (Aquatic Plant Garden) 👉 Navigate here
Tropical Rainforest Area 👉 Navigate here
Desert Animal Area 👉 Navigate here
Australian Animal Area 👉 Navigate here
African Animal Area (Hippo Plaza) 👉 Navigate here
African Animal Area 👉 Navigate here
Temperate Zone 👉 Navigate here
Temperate Zone (beside Red Panda shop) 👉 Navigate here
Amphibian and Reptile House (exit) 👉 Navigate here
Amphibian and Reptile House (entrance) 👉 Navigate here",
